         24650899 function calls (24431755 primitive calls) in 35.117 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   136901    9.047    0.000   16.391    0.000 xla.py:254(_execute_compiled_primitive)
   101288    2.243    0.000    2.243    0.000 {built-in method jaxlib.xla_extension.from_python}
    43074    1.875    0.000    1.905    0.000 xla.py:970(force_fun)
1236737/1214535    1.217    0.000    2.706    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   136901    0.775    0.000   18.776    0.000 xla.py:164(apply_primitive)
320745/320668    0.729    0.000    0.834    0.000 util.py:29(safe_map)
353966/353566    0.555    0.000    0.564    0.000 {built-in method numpy.array}
   394007    0.525    0.000    3.151    0.000 dtypes.py:235(result_type)
    29232    0.468    0.000    3.103    0.000 lax_numpy.py:1279(broadcast_to)
    10214    0.433    0.000   26.229    0.003 lax_numpy.py:3231(_index_to_gather)
   165480    0.419    0.000    0.700    0.000 xla.py:913(_copy_device_array_to_device)
   262405    0.370    0.000    1.529    0.000 {built-in method builtins.max}
   394917    0.366    0.000    1.332    0.000 dtypes.py:129(issubdtype)
   394917    0.356    0.000    0.909    0.000 numerictypes.py:365(issubdtype)
   202757    0.344    0.000    0.835    0.000 core.py:614(find_top_trace)
   266568    0.340    0.000    0.340    0.000 xla_bridge.py:166(get_device_backend)
   789834    0.336    0.000    0.507    0.000 numerictypes.py:293(issubclass_)
   462486    0.319    0.000    1.226    0.000 dtypes.py:230(dtype)
1054322/889085    0.295    0.000    0.454    0.000 {built-in method builtins.isinstance}
200659/200605    0.291    0.000   21.390    0.000 core.py:194(bind)
   164895    0.286    0.000    0.306    0.000 lazy.py:140(is_trivial)
   463353    0.281    0.000    0.945    0.000 <__array_function__ internals>:2(result_type)
   488068    0.276    0.000    1.123    0.000 <__array_function__ internals>:2(shape)
  1580968    0.274    0.000    0.274    0.000 {built-in method builtins.issubclass}
   488068    0.272    0.000    0.450    0.000 fromnumeric.py:1903(shape)
   188956    0.266    0.000    1.087    0.000 core.py:797(__init__)
   161395    0.261    0.000    0.914    0.000 lax.py:347(convert_element_type)
    65969    0.257    0.000    0.257    0.000 {method 'reduce' of 'numpy.ufunc' objects}
53070/22428    0.243    0.000   10.298    0.000 lax_numpy.py:1990(array)
    71491    0.242    0.000    5.108    0.000 lax.py:2830(_reshape_impl)
   278889    0.233    0.000    0.966    0.000 core.py:924(canonicalize_shape)
    81712    0.229    0.000    6.451    0.000 lax.py:660(reshape)
   254559    0.228    0.000    6.931    0.000 xla.py:96(device_put)
   164685    0.227    0.000    2.504    0.000 xla.py:927(_force)
     2098    0.211    0.000    0.347    0.000 xla.py:562(_execute_compiled)
   260751    0.207    0.000    1.159    0.000 xla.py:136(abstractify)
   254581    0.205    0.000    0.728    0.000 xla.py:114(canonicalize_dtype)
   188956    0.204    0.000    0.204    0.000 core.py:736(__init__)
    10308    0.202    0.000    0.424    0.000 function_base.py:4218(delete)
   254552    0.202    0.000    1.338    0.000 xla.py:157(arg_spec)
  1636555    0.183    0.000    0.183    0.000 {built-in method builtins.len}
   136901    0.169    0.000    6.978    0.000 xla.py:256(<listcomp>)
    11614    0.164    0.000    0.212    0.000 xla.py:754(_value)
   235138    0.160    0.000    0.160    0.000 xla.py:742(__init__)
    41286    0.159    0.000    0.537    0.000 lax.py:4884(_check_shapelike)
   225980    0.152    0.000    0.152    0.000 core.py:809(__eq__)
   101288    0.141    0.000    2.706    0.000 xla.py:103(_device_put_array)
   299830    0.139    0.000    0.210    0.000 core.py:814(__hash__)
    11215    0.138    0.000    0.324    0.000 lax_numpy.py:1483(_reduction_init_val)
    20643    0.136    0.000    0.781    0.000 lax.py:2637(_broadcast_in_dim_shape_rule)
   153271    0.135    0.000    3.269    0.000 xla.py:908(_device_put_device_array)
   165191    0.134    0.000    0.180    0.000 lax_numpy.py:105(__instancecheck__)
   207207    0.134    0.000    0.661    0.000 <__array_function__ internals>:2(ndim)
   207207    0.132    0.000    0.294    0.000 fromnumeric.py:3037(ndim)
    31693    0.130    0.000    0.456    0.000 core.py:858(__init__)
   126744    0.123    0.000    1.058    0.000 dtypes.py:218(_dtype_priority)
   141098    0.121    0.000    0.179    0.000 config.py:55(read)
   203038    0.120    0.000    0.184    0.000 core.py:616(<genexpr>)
   183818    0.120    0.000    0.120    0.000 dtypes.py:212(is_python_scalar)
    20428    0.120    0.000    5.978    0.000 lax_numpy.py:1881(concatenate)
    49160    0.111    0.000    0.158    0.000 lazy.py:126(broadcast)
   519373    0.110    0.000    0.118    0.000 {method 'get' of 'dict' objects}
    11215    0.109    0.000   12.455    0.001 lax_numpy.py:1450(reduction)
     2241    0.108    0.000    0.108    0.000 {method 'acquire' of '_thread.lock' objects}
   101288    0.105    0.000    2.348    0.000 xla_client.py:134(buffer_from_pyval)
    55263    0.097    0.000    0.097    0.000 dtypes.py:191(promote_types)
   139000    0.094    0.000    0.271    0.000 config.py:120(__getattr__)
    56127    0.091    0.000    0.673    0.000 core.py:683(concrete_aval)
    44036    0.090    0.000    0.498    0.000 abstract_arrays.py:33(make_shaped_array)
    58265    0.088    0.000    2.911    0.000 lax_numpy.py:234(_promote_dtypes)
263603/263203    0.088    0.000    0.505    0.000 _asarray.py:16(asarray)
   177114    0.086    0.000    0.086    0.000 xla.py:892(is_device_constant)
    10214    0.082    0.000    4.684    0.000 lax_numpy.py:1856(stack)
    58265    0.082    0.000    0.721    0.000 lax_numpy.py:241(<listcomp>)
     8509    0.082    0.000    1.793    0.000 lax_numpy.py:2494(matmul)
   344468    0.079    0.000    0.079    0.000 xla.py:769(dtype)
   101288    0.078    0.000    2.426    0.000 xla_client.py:392(from_pyval)
        1    0.076    0.076    0.076    0.076 {built-in method jaxlib.xla_extension.Compile}
    24732    0.076    0.000    0.076    0.000 {built-in method numpy.arange}
   155664    0.075    0.000    0.095    0.000 xla.py:777(ndim)
    12214    0.075    0.000    0.845    0.000 lax_numpy.py:1123(squeeze)
    59250    0.075    0.000    0.402    0.000 xla.py:145(_make_abstract_python_scalar)
   312497    0.075    0.000    0.075    0.000 {built-in method builtins.hash}
    33834    0.069    0.000    6.985    0.000 lax_numpy.py:3755(deferring_binary_op)
    11215    0.069    0.000    0.416    0.000 lax.py:1022(_get_monoid_reducer)
    24533    0.067    0.000    0.067    0.000 {built-in method jaxlib.pytree.flatten}
    38846    0.066    0.000    0.095    0.000 lax.py:2847(_is_singleton_reshape)
   488068    0.066    0.000    0.066    0.000 fromnumeric.py:1899(_shape_dispatcher)
   295180    0.062    0.000    0.062    0.000 xla.py:765(shape)
    57252    0.061    0.000    0.166    0.000 xla.py:126(_canonicalize_python_scalar_dtype)
   110251    0.061    0.000    0.277    0.000 {built-in method builtins.any}
    44058    0.060    0.000    0.292    0.000 xla.py:123(_canonicalize_ndarray_dtype)
    20428    0.060    0.000    0.060    0.000 getlimits.py:497(__init__)
    25325    0.060    0.000    1.640    0.000 lax_numpy.py:275(_promote_args)
    22124    0.060    0.000    0.219    0.000 fromnumeric.py:73(_wrapreduction)
    10524    0.059    0.000    1.179    0.000 lax.py:573(dot_general)
   141098    0.058    0.000    0.058    0.000 config.py:68(check_exists)
    10214    0.058    0.000    0.902    0.000 lax.py:1062(_reduce_max)
    30642    0.057    0.000    1.098    0.000 lax_numpy.py:1101(_reshape_method)
     8214    0.057    0.000   21.916    0.003 lax_numpy.py:3146(_gather)
     8211    0.057    0.000    4.333    0.001 lax_numpy.py:2985(_normalize_index)
    26574    0.057    0.000    0.058    0.000 {method 'format' of 'str' objects}
    10214    0.056    0.000    0.392    0.000 lax_numpy.py:3191(_split_index_for_jit)
    58265    0.054    0.000    2.097    0.000 lax_numpy.py:405(result_type)
   463353    0.053    0.000    0.053    0.000 multiarray.py:635(result_type)
    25325    0.049    0.000    0.202    0.000 lax_numpy.py:203(_promote_shapes)
   136933    0.049    0.000    0.049    0.000 core.py:918(_canonicalize_dimension)
56436/56403    0.049    0.000    0.740    0.000 core.py:690(get_aval)
    55074    0.048    0.000    0.146    0.000 lax_numpy.py:399(isscalar)
   275422    0.043    0.000    0.043    0.000 {method 'append' of 'list' objects}
    10315    0.042    0.000    0.523    0.000 lax.py:2626(_broadcast_in_dim_impl)
    58355    0.042    0.000    0.137    0.000 {built-in method _functools.reduce}
    21624    0.041    0.000    0.041    0.000 {built-in method numpy.empty}
    18414    0.041    0.000    0.342    0.000 abstract_arrays.py:64(_make_concrete_python_scalar)
    12215    0.040    0.000    0.210    0.000 tree_util.py:148(tree_map)
    10232    0.039    0.000    0.079    0.000 functools.py:37(update_wrapper)
   107511    0.039    0.000    0.207    0.000 lax_numpy.py:268(<genexpr>)
    41286    0.039    0.000    0.144    0.000 masking.py:56(is_polymorphic)
     8214    0.038    0.000   22.519    0.003 lax_numpy.py:3135(_rewriting_take)
    11114    0.037    0.000    2.127    0.000 lax_numpy.py:426(fn)
    10322    0.036    0.000    1.094    0.000 lax.py:646(broadcast_in_dim)
    20428    0.036    0.000    4.636    0.000 lax.py:412(concatenate)
    22428    0.035    0.000   10.339    0.000 lax_numpy.py:2027(asarray)
    30642    0.033    0.000    1.018    0.000 lax_numpy.py:1089(_reshape)
    10214    0.033    0.000    0.059    0.000 lax_numpy.py:3482(_canonicalize_tuple_index)
    10916    0.032    0.000    0.032    0.000 {built-in method numpy.zeros}
    35837    0.032    0.000    0.274    0.000 lax_numpy.py:266(_check_arraylike)
    71674    0.032    0.000    0.168    0.000 lax_numpy.py:265(_arraylike)
    10214    0.032    0.000    0.277    0.000 lax_numpy.py:3435(_expand_bool_indices)
    38654    0.032    0.000    0.032    0.000 lax_numpy.py:370(_canonicalize_axis)
    21517    0.031    0.000    0.168    0.000 numeric.py:159(ones)
    10214    0.031    0.000    0.033    0.000 lax_numpy.py:3216(_merge_static_and_dynamic_indices)
    20428    0.031    0.000    4.667    0.000 lax_numpy.py:1897(<listcomp>)
    10214    0.029    0.000    0.128    0.000 lax.py:1040(_get_max_identity)
   207207    0.029    0.000    0.029    0.000 fromnumeric.py:3033(_ndim_dispatcher)
        1    0.029    0.029   31.195   31.195 <ipython-input-29-9fbbd50b5353>:1(evaluate)
    10214    0.029    0.000    2.365    0.000 lax_numpy.py:477(fn)
     1000    0.028    0.000    6.345    0.006 <ipython-input-26-3b24df9ad389>:70(update_history)
    42545    0.028    0.000    0.158    0.000 {method 'all' of 'numpy.ndarray' objects}
    75022    0.027    0.000    0.027    0.000 {built-in method __new__ of type object at 0x55cf258642c0}
    10214    0.027    0.000    5.043    0.000 lax_numpy.py:2010(<listcomp>)
    25325    0.026    0.000    0.131    0.000 lax_numpy.py:208(<listcomp>)
    30642    0.026    0.000    1.123    0.000 lax_numpy.py:1072(reshape)
    47084    0.026    0.000    0.026    0.000 util.py:179(prod)
122970/122969    0.025    0.000    0.038    0.000 {built-in method builtins.next}
    33164    0.025    0.000    0.025    0.000 {built-in method builtins.sorted}
    10214    0.025    0.000    0.040    0.000 numeric.py:1786(isscalar)
